"obj_num","name_1","name_2","preset_amt_1","preset_amt_2","preset_amt_3","preset_amt_4","preset_amt_5","preset_amt_6","preset_amt_7","preset_amt_8","preset_amt_9","preset_amt_10","slu_priority","mi_slu_name_1","mi_slu_name_2","mi_slu_name_3","mi_slu_name_4","mi_slu_name_5","mi_slu_name_6","mi_slu_name_7","mi_slu_name_8","mlvl_class_name","prn_def_class_name","class_def_name","maj_grp_name","fam_grp_name","mi_grp_name","cond_grp_mem_name","cond_req_name","cond_allowed_name","nlu_grp","nlu_num","key_num","cost_1","cost_2","cost_3","cost_4","cost_5","cost_6","cost_7","cost_8","cost_9","cost_10"
"251","CRISP","","","","","","","","","","","","","OTHER MODS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"252","PANCAKES","","","","","","","","","","","","","OTHER MODS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"253","TOAST","","","","","","","","","","","","","OTHER MODS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"254","!TYPE INSTRUCT","","","","","","","","","","","","","OTHER MODS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","TYPE INSTRUCTIONS","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"255","!TYPE INSTRUCT","","","","","","","","","","","","","BAR MODS","","","","","","","","All Levels","BAR RED","TYPE INSTRUCTIONS","FOOD","FOOD PREP","All Items","BAR MODS","","","","","","","","","","","","","","",""
"256","DON'T MAKE","","","","","","","","","","","","","OTHER MODS","FOOD MODS ALL","BAR MODS","DRINK SPECIALS","WHITE WINE GLS","BEVERAGES","WHITE WINE GLS","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"257","TO GO","TO GO","","","","","","","","","","","","OTHER MODS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"258","-SKIP-","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","POTATO CHOICE","","","","","","","","","","","","","","",""
"259","NUT ALLERGY","NUT ALLERGY","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
"261","MUSH SALAD","MUSH SALAD","12","","","","","","","","","","","","","","","","","","","All Levels","CHECK ONLY","NO CHARGE CONDIMENT","FOOD","****MODIFIERS AND CONDIMENTS****","All Items","","","FOOD MODS","","","","","","","","","","","","",""
"262","PRAWN","PRAWN","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","PRAWN/TUNA","","FOOD MODS","","","","","","","","","","","","",""
"263","TUNA","TUNA","","","","","","","","","","","","","","","","","","","","All Levels","CHECK ONLY","NO CHARGE CONDIMENT","FOOD","****MODIFIERS AND CONDIMENTS****","All Items","PRAWN/TUNA","","FOOD MODS","","","","","","","","","","","","",""
"264","SHELFSH ALLERGY","SHLFSH ALRGY","","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
